"feature","importance","type"
"x9",0.00189457324307821,"scenario_weighted"
"x10",0.000549496125061514,"scenario_weighted"
"x9_05",0.0544113472174302,"scenario_weighted"
"x9_10",0.691085167184166,"scenario_weighted"
"x9_20",0.865841736436519,"scenario_weighted"
"A_lam60.A_lam60",0.0641085795232616,"scenario_weighted"
"A_lam70.A_lam70",0.00168487810473207,"scenario_weighted"
"A_range",7.32131441513323e-07,"scenario_weighted"
"F001.F001",0.0672424750375996,"scenario_weighted"
"F010.F010",0.0377541864631084,"scenario_weighted"
"F050.F050",0.252294144347332,"scenario_weighted"
"F100.F100",0.319676862705248,"scenario_weighted"
"R0",0.0213965524553966,"scenario_weighted"
"Simes_min",1.83705833214479e-05,"scenario_weighted"
"KS",0.181881679859151,"scenario_weighted"
"HC",0.0588988169113932,"scenario_weighted"
"q01",0.0223127588808036,"scenario_weighted"
"q05",0.0112480748496768,"scenario_weighted"
"lnp_mean",0.0031828214275299,"scenario_weighted"
"lnp_med",0.0641023602259785,"scenario_weighted"
"lnp_p90",0.114809055707326,"scenario_weighted"
"m",0.000419094728757798,"scenario_weighted"
"enrichment_ratio",0.00119735445763494,"scenario_weighted"
"max_freq",0.00339103599413434,"scenario_weighted"
"A_07_subsample_sd",1.60726938844472e-05,"scenario_weighted"
"CP05",0.0439955765701816,"scenario_weighted"
"CP10",0.722299102579067,"scenario_weighted"
"CP20",0.78918273034582,"scenario_weighted"
"mean_p",0.954928040644844,"scenario_weighted"
"median_p",0.148971024744775,"scenario_weighted"
"CvM",0.290378598496961,"scenario_weighted"
"A_lam98",0.000127427147876264,"scenario_weighted"
