"feature","importance","type"
"x9",0.00199607499826849,"scenario_weighted"
"x10",0.000481193028719866,"scenario_weighted"
"x9_05",0.0567225181378586,"scenario_weighted"
"x9_10",0.461809673591858,"scenario_weighted"
"x9_20",0.897566444532085,"scenario_weighted"
"A_lam60.A_lam60",0.0514227912099825,"scenario_weighted"
"A_lam70.A_lam70",0.00177015767335383,"scenario_weighted"
"A_range",-1.61752604339871e-07,"scenario_weighted"
"F001.F001",0.062903285077689,"scenario_weighted"
"F010.F010",0.0347349640492321,"scenario_weighted"
"F050.F050",0.268777837874271,"scenario_weighted"
"F100.F100",0.338207928461103,"scenario_weighted"
"R0",0.0211700129788274,"scenario_weighted"
"Simes_min",9.67595123634847e-06,"scenario_weighted"
"KS",0.139547305593731,"scenario_weighted"
"HC",0.0631943940848888,"scenario_weighted"
"q01",0.0170452899023614,"scenario_weighted"
"q05",0.00949871524669476,"scenario_weighted"
"lnp_mean",0.00310050117025446,"scenario_weighted"
"lnp_med",0.0567349467164631,"scenario_weighted"
"lnp_p90",0.118626823072397,"scenario_weighted"
"m",0.000382404319315448,"scenario_weighted"
"enrichment_ratio",0.00127958825265688,"scenario_weighted"
"max_freq",0.00338654514619745,"scenario_weighted"
"A_07_subsample_sd",9.67308275569873e-06,"scenario_weighted"
"CP05",0.034908820941035,"scenario_weighted"
"CP10",0.745490665900314,"scenario_weighted"
"CP20",0.539012415224384,"scenario_weighted"
"mean_p",0.659063345299911,"scenario_weighted"
"median_p",0.156317463891002,"scenario_weighted"
"CvM",0.328363559204636,"scenario_weighted"
"A_lam98",9.91836317963921e-05,"scenario_weighted"
