"feature","importance","type"
"x9",0.00240845972883092,"scenario_weighted"
"x10",0.000607519632486486,"scenario_weighted"
"x9_05",0.0664738672890864,"scenario_weighted"
"x9_10",0.729140713769606,"scenario_weighted"
"x9_20",1.04863515790105,"scenario_weighted"
"A_lam60.A_lam60",0.0718164637965646,"scenario_weighted"
"A_lam70.A_lam70",0.00209157965764777,"scenario_weighted"
"A_range",1.83718695780932e-07,"scenario_weighted"
"F001.F001",0.0788995237241917,"scenario_weighted"
"F010.F010",0.0440007289228479,"scenario_weighted"
"F050.F050",0.308438293013017,"scenario_weighted"
"F100.F100",0.389618113803365,"scenario_weighted"
"R0",0.0253724890818991,"scenario_weighted"
"Simes_min",1.6942293654852e-05,"scenario_weighted"
"KS",0.200663593634578,"scenario_weighted"
"HC",0.0713269763268373,"scenario_weighted"
"q01",0.0241337483806052,"scenario_weighted"
"q05",0.0126494402382995,"scenario_weighted"
"lnp_mean",0.00373206638978341,"scenario_weighted"
"lnp_med",0.0741176664443072,"scenario_weighted"
"lnp_p90",0.138427976995735,"scenario_weighted"
"m",0.000513191496177937,"scenario_weighted"
"enrichment_ratio",0.00144950058441894,"scenario_weighted"
"max_freq",0.0040944227502511,"scenario_weighted"
"A_07_subsample_sd",1.25178722484834e-05,"scenario_weighted"
"CP05",0.0485564213398627,"scenario_weighted"
"CP10",0.876889928267982,"scenario_weighted"
"CP20",0.835480676478068,"scenario_weighted"
"mean_p",1.0161030633391,"scenario_weighted"
"median_p",0.18093740091957,"scenario_weighted"
"CvM",0.364241419134964,"scenario_weighted"
"A_lam98",0.000130248896794522,"scenario_weighted"
