"feature","importance","type"
"x9",0.00179570761768551,"scenario_weighted"
"x10",0.000443375306003416,"scenario_weighted"
"x9_05",0.0508282721728527,"scenario_weighted"
"x9_10",0.370740948405702,"scenario_weighted"
"x9_20",0.775394624154868,"scenario_weighted"
"A_lam60.A_lam60",0.0429631970615454,"scenario_weighted"
"A_lam70.A_lam70",0.0015910521997246,"scenario_weighted"
"A_range",-1.86591820877692e-07,"scenario_weighted"
"F001.F001",0.0527762718948443,"scenario_weighted"
"F010.F010",0.0297536071856057,"scenario_weighted"
"F050.F050",0.236128990443117,"scenario_weighted"
"F100.F100",0.296703583808427,"scenario_weighted"
"R0",0.0184746271000949,"scenario_weighted"
"Simes_min",4.94123440269781e-06,"scenario_weighted"
"KS",0.114118785305014,"scenario_weighted"
"HC",0.0559400284462174,"scenario_weighted"
"q01",0.0136859770653326,"scenario_weighted"
"q05",0.00757919801615483,"scenario_weighted"
"lnp_mean",0.00285352440114963,"scenario_weighted"
"lnp_med",0.0481446192148625,"scenario_weighted"
"lnp_p90",0.101876533310687,"scenario_weighted"
"m",0.000258381351636379,"scenario_weighted"
"enrichment_ratio",0.00119541149600106,"scenario_weighted"
"max_freq",0.00266454594417042,"scenario_weighted"
"A_07_subsample_sd",1.50086041724815e-05,"scenario_weighted"
"CP05",0.0294337937224158,"scenario_weighted"
"CP10",0.643746848825587,"scenario_weighted"
"CP20",0.430348388235887,"scenario_weighted"
"mean_p",0.527202084490716,"scenario_weighted"
"median_p",0.137685011801479,"scenario_weighted"
"CvM",0.298652813971949,"scenario_weighted"
"A_lam98",8.98793811588986e-05,"scenario_weighted"
