"feature","importance","type"
"x9",0.00233702050409273,"scenario_weighted"
"x10",0.000522150889842906,"scenario_weighted"
"x9_05",0.0640160163397226,"scenario_weighted"
"x9_10",0.620840515476207,"scenario_weighted"
"x9_20",1.02808609511169,"scenario_weighted"
"A_lam60.A_lam60",0.064644368579648,"scenario_weighted"
"A_lam70.A_lam70",0.00204938370513131,"scenario_weighted"
"A_range",-8.15652501369862e-07,"scenario_weighted"
"F001.F001",0.0758087853033705,"scenario_weighted"
"F010.F010",0.041547901285205,"scenario_weighted"
"F050.F050",0.304540958016913,"scenario_weighted"
"F100.F100",0.383642898513117,"scenario_weighted"
"R0",0.02451886060135,"scenario_weighted"
"Simes_min",1.32746133792972e-05,"scenario_weighted"
"KS",0.179721571549878,"scenario_weighted"
"HC",0.0705296231375948,"scenario_weighted"
"q01",0.0215391699996374,"scenario_weighted"
"q05",0.0118396623689567,"scenario_weighted"
"lnp_mean",0.00345965135678878,"scenario_weighted"
"lnp_med",0.0694959154698964,"scenario_weighted"
"lnp_p90",0.136436627402848,"scenario_weighted"
"m",0.000536265789198951,"scenario_weighted"
"enrichment_ratio",0.00137700985268015,"scenario_weighted"
"max_freq",0.00422406867625608,"scenario_weighted"
"A_07_subsample_sd",9.88521310506043e-07,"scenario_weighted"
"CP05",0.0435648502164182,"scenario_weighted"
"CP10",0.85494460391377,"scenario_weighted"
"CP20",0.7193896680109,"scenario_weighted"
"mean_p",0.880812244579952,"scenario_weighted"
"median_p",0.176936670343151,"scenario_weighted"
"CvM",0.362414578706935,"scenario_weighted"
"A_lam98",0.000103861678726306,"scenario_weighted"
