"feature","importance","type"
"x9",0.000602243468540206,"scenario_weighted"
"x10",0.000138113726278063,"scenario_weighted"
"x9_05",0.0180031569846575,"scenario_weighted"
"x9_10",0.291918168221615,"scenario_weighted"
"x9_20",0.293634343645309,"scenario_weighted"
"A_lam60.A_lam60",0.024366903433274,"scenario_weighted"
"A_lam70.A_lam70",0.00054074112715513,"scenario_weighted"
"A_range",1.37842534866997e-07,"scenario_weighted"
"F001.F001",0.0232751511768174,"scenario_weighted"
"F010.F010",0.012977284439376,"scenario_weighted"
"F050.F050",0.0796408127958871,"scenario_weighted"
"F100.F100",0.10277740524217,"scenario_weighted"
"R0",0.00623292043814572,"scenario_weighted"
"Simes_min",2.64933277415835e-05,"scenario_weighted"
"KS",0.0727497566569248,"scenario_weighted"
"HC",0.0153565325401954,"scenario_weighted"
"q01",0.00892738042731819,"scenario_weighted"
"q05",0.00412371671535875,"scenario_weighted"
"lnp_mean",0.00094320396521495,"scenario_weighted"
"lnp_med",0.0227244702488068,"scenario_weighted"
"lnp_p90",0.0365592437306196,"scenario_weighted"
"m",0.000132571163876003,"scenario_weighted"
"enrichment_ratio",0.000327640244273764,"scenario_weighted"
"max_freq",0.00159046215752159,"scenario_weighted"
"A_07_subsample_sd",2.40065410640672e-05,"scenario_weighted"
"CP05",0.0166500076618385,"scenario_weighted"
"CP10",0.245595866700742,"scenario_weighted"
"CP20",0.352376762415545,"scenario_weighted"
"mean_p",0.413696773845021,"scenario_weighted"
"median_p",0.0481009612287917,"scenario_weighted"
"CvM",0.0857601188624512,"scenario_weighted"
"A_lam98",3.43061529086627e-05,"scenario_weighted"
