"feature","importance","type"
"x9",0.00119951804175008,"scenario_weighted"
"x10",0.000349919811413448,"scenario_weighted"
"x9_05",0.0349705661609043,"scenario_weighted"
"x9_10",0.623925951607288,"scenario_weighted"
"x9_20",0.584472983681795,"scenario_weighted"
"A_lam60.A_lam60",0.0518679111035483,"scenario_weighted"
"A_lam70.A_lam70",0.00101449242856523,"scenario_weighted"
"A_range",4.57084780003808e-07,"scenario_weighted"
"F001.F001",0.0491672058299893,"scenario_weighted"
"F010.F010",0.0273779309683517,"scenario_weighted"
"F050.F050",0.159616235036925,"scenario_weighted"
"F100.F100",0.205292940949859,"scenario_weighted"
"R0",0.0134662446675059,"scenario_weighted"
"Simes_min",3.08631848671446e-05,"scenario_weighted"
"KS",0.152985857330407,"scenario_weighted"
"HC",0.032529973264875,"scenario_weighted"
"q01",0.0190329043455233,"scenario_weighted"
"q05",0.00904116968768934,"scenario_weighted"
"lnp_mean",0.00197424992254308,"scenario_weighted"
"lnp_med",0.0478154464217755,"scenario_weighted"
"lnp_p90",0.076178516756208,"scenario_weighted"
"m",0.000359863027969263,"scenario_weighted"
"enrichment_ratio",0.000617495854189738,"scenario_weighted"
"max_freq",0.00280462074270352,"scenario_weighted"
"A_07_subsample_sd",1.63162380562812e-05,"scenario_weighted"
"CP05",0.0355790302947723,"scenario_weighted"
"CP10",0.485845194802304,"scenario_weighted"
"CP20",0.712203733672571,"scenario_weighted"
"mean_p",0.855161343691815,"scenario_weighted"
"median_p",0.096700677824594,"scenario_weighted"
"CvM",0.163532103519364,"scenario_weighted"
"A_lam98",8.72938722979702e-05,"scenario_weighted"
