"feature","importance","type"
"x9",0.0020749568926147,"scenario_weighted"
"x10",0.000500087271945028,"scenario_weighted"
"x9_05",0.057989894502378,"scenario_weighted"
"x9_10",0.51558735799154,"scenario_weighted"
"x9_20",0.909183202581115,"scenario_weighted"
"A_lam60.A_lam60",0.0544737962010408,"scenario_weighted"
"A_lam70.A_lam70",0.00182986894752914,"scenario_weighted"
"A_range",2.3565521026378e-07,"scenario_weighted"
"F001.F001",0.0650409290481071,"scenario_weighted"
"F010.F010",0.0361346084691882,"scenario_weighted"
"F050.F050",0.272667609396347,"scenario_weighted"
"F100.F100",0.343136669893385,"scenario_weighted"
"R0",0.0218074316102215,"scenario_weighted"
"Simes_min",1.37611139322524e-05,"scenario_weighted"
"KS",0.148711179257775,"scenario_weighted"
"HC",0.0638607926353949,"scenario_weighted"
"q01",0.0179530187010377,"scenario_weighted"
"q05",0.00987286489028933,"scenario_weighted"
"lnp_mean",0.00321895853936011,"scenario_weighted"
"lnp_med",0.0593628450716974,"scenario_weighted"
"lnp_p90",0.120400647902783,"scenario_weighted"
"m",0.000397413743167433,"scenario_weighted"
"enrichment_ratio",0.00131969418097411,"scenario_weighted"
"max_freq",0.00359852538527599,"scenario_weighted"
"A_07_subsample_sd",1.0049980841547e-05,"scenario_weighted"
"CP05",0.0395035051346137,"scenario_weighted"
"CP10",0.756426944348544,"scenario_weighted"
"CP20",0.593856826907317,"scenario_weighted"
"mean_p",0.717750667586453,"scenario_weighted"
"median_p",0.15875677853737,"scenario_weighted"
"CvM",0.332018429004792,"scenario_weighted"
"A_lam98",0.000107841149338243,"scenario_weighted"
