"feature","importance","type"
"x9",0.00113083124987359,"scenario_weighted"
"x10",0.000243564049777004,"scenario_weighted"
"x9_05",0.0323680860045151,"scenario_weighted"
"x9_10",0.431595145603154,"scenario_weighted"
"x9_20",0.526770665100543,"scenario_weighted"
"A_lam60.A_lam60",0.0393347450576959,"scenario_weighted"
"A_lam70.A_lam70",0.000947718849119113,"scenario_weighted"
"A_range",3.05615823816621e-07,"scenario_weighted"
"F001.F001",0.0402323124925547,"scenario_weighted"
"F010.F010",0.0222385037065772,"scenario_weighted"
"F050.F050",0.145933924802422,"scenario_weighted"
"F100.F100",0.186976715294998,"scenario_weighted"
"R0",0.0111847294084923,"scenario_weighted"
"Simes_min",3.2597501261212e-05,"scenario_weighted"
"KS",0.114384333124804,"scenario_weighted"
"HC",0.0285040825458356,"scenario_weighted"
"q01",0.0136692399963532,"scenario_weighted"
"q05",0.00665673847343966,"scenario_weighted"
"lnp_mean",0.00165460093556414,"scenario_weighted"
"lnp_med",0.0382946038807734,"scenario_weighted"
"lnp_p90",0.0661230697660813,"scenario_weighted"
"m",0.00025032709668832,"scenario_weighted"
"enrichment_ratio",0.000576758632814465,"scenario_weighted"
"max_freq",0.00255154757575878,"scenario_weighted"
"A_07_subsample_sd",2.55319918323435e-05,"scenario_weighted"
"CP05",0.0260349362091907,"scenario_weighted"
"CP10",0.440582365089924,"scenario_weighted"
"CP20",0.5170805545182,"scenario_weighted"
"mean_p",0.617888204267316,"scenario_weighted"
"median_p",0.0871463823951234,"scenario_weighted"
"CvM",0.163509850097969,"scenario_weighted"
"A_lam98",4.69485571174631e-05,"scenario_weighted"
