"feature","importance","type"
"x9",0.00188346474056676,"scenario_weighted"
"x10",0.000461849135259205,"scenario_weighted"
"x9_05",0.0539067969570039,"scenario_weighted"
"x9_10",0.424196195669685,"scenario_weighted"
"x9_20",0.834096165452793,"scenario_weighted"
"A_lam60.A_lam60",0.0476166695981252,"scenario_weighted"
"A_lam70.A_lam70",0.00169508846321451,"scenario_weighted"
"A_range",5.72098913589753e-07,"scenario_weighted"
"F001.F001",0.0579451410934309,"scenario_weighted"
"F010.F010",0.0322732679638118,"scenario_weighted"
"F050.F050",0.251435197680359,"scenario_weighted"
"F100.F100",0.31603591655353,"scenario_weighted"
"R0",0.019870281696895,"scenario_weighted"
"Simes_min",7.81487703491845e-06,"scenario_weighted"
"KS",0.128666994780939,"scenario_weighted"
"HC",0.0598438676268115,"scenario_weighted"
"q01",0.0155445017663367,"scenario_weighted"
"q05",0.0086355180255227,"scenario_weighted"
"lnp_mean",0.00296569737904392,"scenario_weighted"
"lnp_med",0.0527990802389761,"scenario_weighted"
"lnp_p90",0.109961176824739,"scenario_weighted"
"m",0.000314348900845216,"scenario_weighted"
"enrichment_ratio",0.00123658396690448,"scenario_weighted"
"max_freq",0.0029135734099198,"scenario_weighted"
"A_07_subsample_sd",1.59022272062252e-05,"scenario_weighted"
"CP05",0.0324684879938048,"scenario_weighted"
"CP10",0.696352813433477,"scenario_weighted"
"CP20",0.496392901144264,"scenario_weighted"
"mean_p",0.606204733681964,"scenario_weighted"
"median_p",0.146264687441501,"scenario_weighted"
"CvM",0.311620623405375,"scenario_weighted"
"A_lam98",9.83327263661368e-05,"scenario_weighted"
