"feature","importance","type"
"x9",0.00177509724741474,"scenario_weighted"
"x10",0.000461313297756544,"scenario_weighted"
"x9_05",0.0495471630594566,"scenario_weighted"
"x9_10",0.498448751177691,"scenario_weighted"
"x9_20",0.764088278351377,"scenario_weighted"
"A_lam60.A_lam60",0.0503192772502372,"scenario_weighted"
"A_lam70.A_lam70",0.00158729884916492,"scenario_weighted"
"A_range",3.39029681239167e-07,"scenario_weighted"
"F001.F001",0.0563841797881914,"scenario_weighted"
"F010.F010",0.0315944260659506,"scenario_weighted"
"F050.F050",0.228077336795803,"scenario_weighted"
"F100.F100",0.287136268407794,"scenario_weighted"
"R0",0.0189904604291546,"scenario_weighted"
"Simes_min",1.31512390277899e-05,"scenario_weighted"
"KS",0.139651918671411,"scenario_weighted"
"HC",0.0549105734586828,"scenario_weighted"
"q01",0.0167179502897176,"scenario_weighted"
"q05",0.00886659715755833,"scenario_weighted"
"lnp_mean",0.00282128086437161,"scenario_weighted"
"lnp_med",0.0530180513229649,"scenario_weighted"
"lnp_p90",0.101059565530888,"scenario_weighted"
"m",0.000342143610789584,"scenario_weighted"
"enrichment_ratio",0.00117974993947354,"scenario_weighted"
"max_freq",0.00283613104967142,"scenario_weighted"
"A_07_subsample_sd",1.81997780835006e-05,"scenario_weighted"
"CP05",0.0337838615946822,"scenario_weighted"
"CP10",0.640527273145079,"scenario_weighted"
"CP20",0.574961788096734,"scenario_weighted"
"mean_p",0.699180420513008,"scenario_weighted"
"median_p",0.13282230145146,"scenario_weighted"
"CvM",0.276012017448454,"scenario_weighted"
"A_lam98",9.58527520728807e-05,"scenario_weighted"
