"feature","importance","type"
"x9",0.00114723439683974,"scenario_weighted"
"x10",0.000335270758610637,"scenario_weighted"
"x9_05",0.0328940250483789,"scenario_weighted"
"x9_10",0.625815955922887,"scenario_weighted"
"x9_20",0.541788662921679,"scenario_weighted"
"A_lam60.A_lam60",0.0512194526897342,"scenario_weighted"
"A_lam70.A_lam70",0.000945725481827914,"scenario_weighted"
"A_range",6.74467417711849e-07,"scenario_weighted"
"F001.F001",0.0468476766601789,"scenario_weighted"
"F010.F010",0.0262153873698379,"scenario_weighted"
"F050.F050",0.145995676233936,"scenario_weighted"
"F100.F100",0.1882745416475,"scenario_weighted"
"R0",0.0125708439912458,"scenario_weighted"
"Simes_min",2.86516940047329e-05,"scenario_weighted"
"KS",0.151977060635243,"scenario_weighted"
"HC",0.0293715247362482,"scenario_weighted"
"q01",0.0186457786437876,"scenario_weighted"
"q05",0.00867159699447447,"scenario_weighted"
"lnp_mean",0.00185500056320209,"scenario_weighted"
"lnp_med",0.0464691279852129,"scenario_weighted"
"lnp_p90",0.0699648022080929,"scenario_weighted"
"m",0.00032843347027811,"scenario_weighted"
"enrichment_ratio",0.000598798283173567,"scenario_weighted"
"max_freq",0.00259222308050195,"scenario_weighted"
"A_07_subsample_sd",2.2786677833718e-05,"scenario_weighted"
"CP05",0.0347633691327368,"scenario_weighted"
"CP10",0.453561546747601,"scenario_weighted"
"CP20",0.71727342208634,"scenario_weighted"
"mean_p",0.860187918566768,"scenario_weighted"
"median_p",0.0884907058023557,"scenario_weighted"
"CvM",0.147333071172012,"scenario_weighted"
"A_lam98",7.8532382133675e-05,"scenario_weighted"
